"NAME","ADDRESS","POSTCODE","NON-DESIGNATED BAYS","X CO-ORDINATE","Y CO-ORDINATE","LATITUDE","LONGITUDE","BLUE BADGE BAYS","FAMILY FRIENDLY BAYS","E-CAR BAYS","TARIFF","CHARGED HOURS"
"Ashdale Street Car Park","Ashdale Street - Off Bloomfield Ave.","BT5 5AX","87","336410","374115","54.596667","-5.890236","","","","TL3","Mon- Sat 0800-1800"
"Bankmore Street Car Park","Bankmore Street/Maryville Street","BT7 1AQ","46","333872","373522","54.592300","-5.929871","","","","TM12","Mon- Sat 0800-1800"
"Charlotte Street Car Park","Ormeau Avenue","BT7 1BG","90","334066","373514","54.592281","-5.926693","","","","TM7","Mon- Sat 0800-1800"
"Corporation Square Car Park","Corporation Sqaure/Tomb Street","BT1 3AJ","198","334270","374888","54.604340","-5.922644","","","","TL4","Mon- Sat 0800-1800"
"Corporation Street Car Park","Corporation Street","BT1 3DG","124","334214","374958","54.605046","-5.923358","","","","TL4","Mon- Sat 0800-1800"
"Cromac Street Car Park","Cromac Street","BT2 8JN","99","334232","373792","54.593924","-5.924265","1","1","2","TL6","Mon- Sat 0800-1800"
"Dunbar Street Car Park","Talbot Street/Dunbar Street","BT2 1LH","32","334090","374713","54.603248","-5.925944","2","1","","TM10","Mon- Sat 0800-1800"
"Dundela Crescent Car Park","Dundela Crescent","BT4 3BN ","26","337106","374514","54.600309","-5.878777","","","","Free","Free"
"Exchange Street Car Park","Exchange Street off Corporation Street","BT1 2LJ","46","334135","374749","54.600396","-5.925242","2","1","","TM8","Mon- Sat 0800-1800"
"Frederick Street Car Park","Frederick Street","BT1 2LW","134","333821","375030","54.605616","-5.930339","1","","","TL4","Mon- Sat 0800-1800"
"Glenburn Road Car Park","Glenburn Road-Dunmurry","BT17 9AG","123","329158","368703","54.550223","-6.005425","3","","2","Free","Free"
"Grampian Avenue Car Park","Grampian Avenue","BT4 3AG","41","336658","374237","54.598169","-5.886109","1","1","","Free","Free"
"Hope Street North Car Park","Hope Street","BT12 5EE","41","333469","373666","54.593413","-5.935841","","","2","TM12","Mon- Sat 0800-2100"
"Kent Street Car Park","Kent Street","BT1 2JA","66","333547","374736","54.603463","-5.933922","2","","","TM10","Mon- Sat 0800-1800"
"Little Donegall Street Car Park","Little Donegal Street/Stephen Street","BT1 2JD","105","333607","374853","54.604610","-5.932752","2","2","2","TL6","Mon- Sat 0800-1800"
"Little Victoria Street Car Park","Little Victoria Street/Bruce Street","BT2 7JH","84","333650","373570","54.592701","-5.933385","2","1","2","TM12","Mon- Sat 0800-2100"
"Marlborough Avenue Car Park","Marlborough Avenue","BT9 7HB","31","332265","371684","54.575889","-5.955479","2","2","","TL2","Mon- Sat 0800-1800"
"Northumberland Street Car Park","Northumberland Street/Kendal Street","BT13 2JF","87","332750","374714","54.602989","-5.946541","2","2","","Free","Free"
"Parkgate Avenue Car Park","Parkgate Avenue","BT4 1JA","36","336658","374375","54.599127","-5.886814","1","1","","Free","Free"
"Ravenscroft Avenue Car Park","Ravenscroft Avenue","BT5 5BA","53","336608","374148","54.597197","-5.887805","3","2","","Free","Free"
"Sandown Road Car Park","Sandown Road","BT5 6GT","65","337804","373839","54.594108","-5.868433","2","2","","Free","Free"
"Shaw's Bridge Car Park","Malone Road/Shaws Bridge","BT9 5YN","57","332379","369116","54.553536","-5.954924","4","3","","Free","Free"
"Smithfield Car Park","Wine Tavern Street","BT1 1JQ","107","333543","374569","54.601901","-5.933594","2","","","TM12","Mon- Sat 0800-1800 Thurs until 2100"
"Station Street Car Park","Station Street","BT5 1AS","114","334561","374431","54.600366","-5.918011","","","","TL6","Mon- Sat 0800-1800"
"Wandsworth Road Car Park","Wandsworth Road","BT4 3LS","24","338755","373976","54.595118","-5.854048","","","","Free","Free"
"Westminster Avenue (East) Car Park","Westminster Avenue ","BT4 1QQ","10","336522","374275","54.598300","-5.888232","","","","Free","Free"
"Westminster Avenue (North) Car Park","Westminster Avenue North","BT4 1QQ","70","336460","374286","54.598303","-5.889029","","","","Free","Free"
"Westminster Avenue (West) Car Park","Westminster Avenue ","BT4 1QQ","10","336543","374286","54.598300","-5.888165","","","","Free","Free"
"Whitla Street Car Park","Whitla Street","BT15 1JP","50","334266","375596","54.611024","-5.922635","","","","Free","Free"
"Lancaster Street - York Street","York Street","BT15 1AS","53","333947","375082","54.606033","-5.927695","","","","TL4","Mon- Sat 0800-1800"
